evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.062,276.0,4142.0
0.085,51.0,93.0
0.087,538.0,20603.0
0.093,330.0,9111.0
0.1,111.0,113.0
0.103,85.0,99.0
0.112,141.0,152.0
0.116,172.0,277.0
0.12,271.0,2472.0
0.126,120.0,505.0
0.132,999.0,49399.0
0.143,2799.3333333333335,222424.66666666666
0.144,328.0,24873.0
0.155,463.0,3849.0
0.157,92.0,94.0
0.159,110.0,145.0
0.165,130.0,210.0
0.167,267.0,2031.0
0.171,81.0,108.0
0.178,489.0,4578.0
0.179,934.0,10358.0
0.193,568.0,5644.0
0.202,2381.5,130773.5
0.213,4001.0,244619.0
0.219,710.0,6385.0
0.22,175.0,482.0
0.225,1106.0,11629.0
0.23,96.0,102.0
0.24,98.0,167.0
0.263,121.0,296.0
0.264,1884.0,89692.0
0.273,57.0,67.0
0.28,253.0,1485.0
0.283,81.5,268.0
0.287,82.0,95.0
0.294,1514.0,43003.0
0.295,1102.5,38057.5
0.299,173.0,268.0
0.3,129.0,207.0
0.318,145.0,1446.0
0.327,302.0,2042.0
0.33,279.0,1879.0
0.333,81.0,94.0
0.334,134.0,239.0
0.336,2301.0,131856.0
0.338,107.0,170.0
0.342,530.0,8139.0
0.344,91.0,101.0
0.355,93.0,99.0
0.398,92.0,187.0
