evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,3199.6666666666665,218094.66666666666
0.062,3504.0,241479.0909090909
0.065,121.5,140.0
0.073,3765.625,273725.375
0.08,224.0,259.0
0.085,3896.3333333333335,267449.22222222225
0.092,208.0,501.0
0.097,4001.0,301343.3333333333
0.099,209.0,290.0
0.108,2118.5,155594.0
0.12,4001.0,283582.8
0.125,692.0,12669.0
0.132,3503.125,215897.5
0.143,3405.0,224951.77777777778
0.148,139.0,191.0
0.154,64.0,95.0
0.155,4001.0,271363.6
0.159,89.0,93.0
0.164,361.0,918.0
0.166,209.0,296.0
0.167,4001.0,278957.0
0.17,93.0,98.0
0.178,1791.857142857143,65581.42857142857
0.181,401.0,1594.0
0.183,107.0,158.0
0.185,85.0,94.0
0.188,95.0,96.0
0.19,3184.8333333333335,193500.66666666666
0.192,92.0,103.0
0.202,3079.5555555555557,190136.22222222222
0.213,2049.2,107820.4
0.223,333.0,7799.5
0.225,2614.0,125796.6
0.234,119.0,197.0
0.237,2620.0,64759.0
0.245,191.5,345.5
0.248,2475.0,90144.0
0.249,118.0,142.0
0.26,1788.3333333333333,102673.0
0.272,1895.0,50133.0
0.277,86.0,133.0
0.279,189.0,271.0
0.283,937.6666666666666,18720.0
0.293,121.0,142.0
0.295,934.5,19299.5
0.298,103.0,111.0
0.3,182.0,243.0
0.307,1437.25,34444.75
0.318,4001.0,317130.0
0.33,1848.0,73187.0
0.334,165.0,256.0
0.342,924.0,21855.5
0.353,1378.0,37134.0
0.379,185.0,611.0
0.385,417.0,729.0
0.399,213.0,353.0
