evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.06,254.0,1015.0
0.062,497.0,35460.0
0.097,463.0,20337.0
0.103,286.0,17128.0
0.11,302.0,2398.0
0.112,171.0,246.0
0.127,85.0,100.0
0.135,219.0,515.0
0.139,4001.0,274013.0
0.155,4001.0,292421.0
0.158,664.0,3829.0
0.167,279.0,590.0
0.173,82.0,93.0
0.185,398.0,1715.0
0.19,3191.6666666666665,199456.33333333334
0.205,75.0,85.0
0.213,60.0,104.0
0.219,100.0,204.0
0.223,84.0,103.0
0.23,93.0,96.0
0.232,71.0,182.0
0.247,82.0,93.0
0.248,1201.0,12375.0
0.252,108.0,109.0
0.272,1207.5,29705.0
0.277,141.0,286.0
0.28,234.0,500.0
0.295,118.0,209.0
0.315,150.0,306.0
0.326,189.0,346.0
0.328,80.0,88.0
0.336,93.0,284.0
0.338,81.0,135.0
0.342,2206.0,65918.0
0.347,403.0,1415.0
0.348,1482.0,78772.0
0.366,76.0,99.0
0.372,100.0,155.0
0.381,190.0,1582.0
