evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,612.0,23171.0
0.051,58.0,78.0
0.054,363.3333333333333,14297.0
0.056,1109.0,78550.0
0.057,385.5,585.5
0.058,494.5,37284.0
0.06,362.0,19153.0
0.061,768.0,92140.0
0.062,461.5,20460.5
0.066,661.6666666666666,39276.0
0.069,767.5,73540.0
0.071,216.0,7895.0
0.073,768.0,42180.0
0.075,515.25,48299.0
0.079,602.0,36049.0
0.08,587.0,77273.0
0.083,267.0,4711.5
0.084,490.0,22222.0
0.085,246.0,288.0
0.088,708.0,136487.0
0.089,768.0,106169.0
0.09,941.0,6364.0
0.091,109.0,110.0
0.093,768.0,47642.0
0.095,1454.0,61036.0
0.097,709.0,27689.0
0.098,743.0,29676.5
0.099,870.0,15846.0
0.101,1345.0,65918.5
0.105,408.0,60114.0
0.107,130.0,186.0
0.108,332.6666666666667,2368.3333333333335
0.111,768.0,56066.0
0.112,793.0,62755.0
0.113,175.0,681.0
0.115,289.0,8248.0
0.121,574.0,6727.0
0.122,682.0,48339.0
0.125,766.0,43790.0
0.127,420.0,2767.0
0.128,646.0,24133.0
0.129,46.0,53.0
0.13,768.0,46949.0
0.135,225.0,4482.0
0.136,464.5,15473.5
0.141,147.0,211.0
0.144,112.0,149.0
0.145,95.0,114.0
0.147,615.0,25218.0
0.15,684.0,18308.0
0.151,439.0,8635.0
0.153,436.0,14272.0
0.155,80.0,1077.0
0.156,3084.0,240029.0
0.158,616.0,10128.0
0.162,848.0,18250.0
0.163,87.0,97.0
0.165,428.0,16356.0
0.167,1523.75,83925.0
0.17,828.0,13031.0
0.176,750.0,29451.0
0.178,90.0,119.5
0.179,1782.0,98461.0
0.18,89.0,101.0
0.184,333.0,2371.0
0.186,102.0,130.0
0.187,88.0,169.0
0.188,658.0,43001.5
0.189,630.8,26218.0
0.192,213.66666666666666,3273.3333333333335
0.194,1283.3333333333333,67553.0
0.199,101.5,326.0
0.201,96.0,133.0
0.204,117.0,260.0
0.206,84.0,101.0
0.209,580.0,8511.0
0.21,1360.0,141848.0
0.211,85.0,88.0
0.213,1257.0,62666.0
0.214,512.5,2778.5
0.216,738.0,78037.0
0.217,175.0,573.0
0.22,3062.0,243809.0
0.226,272.0,5648.0
0.227,170.5,3055.5
0.228,2171.0,174869.0
0.229,92.33333333333333,144.0
0.231,3054.0,296435.0
0.232,90.0,296.0
0.233,1164.0,36051.0
0.235,1076.0,66479.0
0.238,103.0,495.0
0.243,160.0,220.0
0.244,89.0,102.0
0.246,203.0,1183.0
0.247,388.0,11687.5
0.248,1442.5,141066.0
0.25,2838.0,166056.0
0.253,400.5,15583.5
0.254,1616.0,87181.0
0.255,111.0,341.0
0.258,1526.5,122163.0
0.259,3627.0,353466.0
0.264,270.0,750.0
0.265,97.0,104.0
0.267,139.0,589.0
0.269,127.0,237.0
0.272,66.0,136.0
0.274,109.0,175.0
0.277,637.0,12528.5
0.278,86.0,87.0
0.279,124.0,255.0
0.28,303.0,1590.0
0.281,748.0,15739.0
0.282,1097.0,73705.5
0.283,89.0,106.0
0.284,100.0,162.0
0.285,217.0,1108.0
0.29,226.0,1764.0
0.291,247.0,25660.0
0.295,70.0,127.0
0.296,519.5,19570.0
0.297,67.0,76.0
0.299,711.0,26736.0
0.304,102.0,104.0
0.307,76.0,737.0
0.309,101.0,209.0
0.311,614.0,191253.0
0.312,541.5,41342.5
0.314,290.0,3689.0
0.317,112.0,186.0
0.318,225.0,2735.0
0.319,240.0,4378.0
0.32,803.0,43516.0
0.325,422.0,49697.0
0.327,76.0,102.0
0.328,89.0,225.33333333333334
0.33,64.0,532.0
0.331,82.0,204.0
0.332,322.0,5876.0
0.334,756.5,36646.5
0.335,350.0,6448.0
0.337,68.0,99.0
0.338,405.6666666666667,38856.666666666664
0.34,91.0,132.0
0.341,231.0,4398.0
0.342,158.0,1216.0
0.347,767.5,26586.5
0.349,415.0,9965.0
0.35,71.0,90.0
0.359,110.0,441.5
0.361,178.0,1630.0
0.371,113.0,116.0
0.372,266.0,6488.0
0.374,97.0,295.0
0.375,820.5,111485.5
0.377,205.33333333333334,3475.6666666666665
0.38,83.0,189.0
0.383,407.0,7388.0
0.388,156.0,1153.5
0.393,2207.0,152186.0
0.394,210.0,696.0
0.396,99.0,196.0
0.397,199.0,621.0
0.4,135.0,719.0
