evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,2356.6666666666665,124368.33333333333
0.062,3354.75,230235.25
0.073,1148.0,59391.0
0.097,4001.0,305440.0
0.12,4001.0,283279.0
0.132,4001.0,300583.5
0.138,93.0,111.0
0.142,150.0,218.0
0.143,4001.0,278765.0
0.155,4001.0,265049.0
0.16,128.0,158.0
0.167,66.0,109.0
0.178,2641.0,144596.5
0.201,57.0,81.0
0.213,3963.0,263994.0
0.237,4001.0,289370.0
0.248,1102.0,24987.0
0.26,1113.0,26969.0
0.272,1096.0,28168.0
0.283,4001.0,285504.0
0.318,4001.0,265559.0
0.334,113.0,132.0
0.388,4001.0,253523.0
