evolution rate,length lived,species population time,population
0.061667,54,132,2
0.225,4001,269893,67
0.248333,2061,51439,24
0.178333,4001,258767,64
0.347331,86,90,1
0.22054,90,96,1
0.380577,86,112,1
0.05,90,1461,16
0.16756,145,304,2
0.108333,4001,303791,75
0.155,2256,111614,49
0.178333,4001,234174,58
0.212083,105,400,3
0.213333,4001,271460,67
0.178333,4001,315948,78
0.069139,512,9766,19
0.225,226,3748,16
0.286533,95,244,2
0.220296,178,461,2
0.318333,249,3775,15
0.359703,94,101,1
0.085,869,63190,72
0.131667,4001,243537,60
0.33,1313,33786,25
0.272856,476,7784,16
0.341667,49,231,4
0.134728,92,108,1
0.209004,970,14404,14
0.248333,509,7818,15
0.344931,78,81,1
0.131667,4001,284389,71
0.257404,101,104,1
0.108333,4001,277032,69
0.225,1731,74614,43
0.143333,4001,278153,69
0.085,2265,150207,66
0.306667,4001,246300,61
0.306667,3014,100821,33
0.05,58,1104,19
0.395833,92,95,1
0.166667,4001,281618,70
0.283333,3372,104075,30
0.131667,404,3017,7
0.085,4001,242565,60
0.141183,106,109,1
0.318333,63,655,10
0.166171,145,148,1
0.096667,4001,250797,62
0.073333,1220,73763,60
0.213333,4001,270286,67
0.155,4001,294604,73
0.070163,202,607,3
0.266827,72,84,1
0.166667,4001,253961,63
0.162369,144,160,1
0.178333,4001,276318,69
0.351973,162,1811,11
0.166667,4001,275019,68
0.293856,95,255,2
0.376667,348,4010,11
0.069321,107,117,1
0.248333,509,12070,23
0.330226,211,1021,4
0.131667,4001,267129,66
0.073333,1380,60694,43
0.18062,163,276,1
0.388333,860,11141,12
0.377896,361,908,2
0.178333,4001,274187,68
0.155,2952,188236,63
0.295,4001,240574,60
0.12,1010,20060,19
0.144528,130,232,1
0.166667,4001,215274,53
0.12,4001,289621,72
0.26,1327,52765,39
0.250753,205,650,3
0.192185,1215,37139,30
0.248333,902,28658,31
0.282186,48,63,1
0.306667,4001,261609,65
0.05,1373,78764,57
0.31397,81,97,1
0.096667,4001,255827,63
0.310763,130,199,1
0.166667,4001,265458,66
0.271667,2473,79658,32
0.213333,4001,286569,71
0.178333,4001,307739,76
0.07663,102,187,1
0.209861,167,721,4
0.085,307,4906,15
0.283333,1816,86114,47
0.306667,3381,160747,47
0.283333,461,7129,15
0.096667,2977,258941,86
0.271667,4001,312695,78
0.308587,50,59,1
0.05,54,955,17
0.225,4001,278806,69
0.157168,163,545,3
0.213333,159,2430,15
0.311511,208,5500,26
0.166667,4001,293789,73
0.365,1164,16414,14
0.143333,4001,293406,73
0.292496,49,50,1
0.108333,4001,268307,67
0.295,1102,38755,35
0.067562,76,84,1
0.33,913,24146,26
0.143333,4001,307853,76
0.12,4001,265832,66
0.288139,74,104,1
0.318333,4001,308893,77
0.12,4001,289180,72
0.380661,79,186,2
0.201667,4001,303897,75
0.073333,1151,75153,65
0.110992,124,146,1
0.085,4001,221567,55
0.303834,84,155,1
0.178333,4001,271137,67
0.318333,1095,23307,21
0.096667,2362,156402,66
0.271667,4001,252675,63
0.166667,4001,296580,74
0.313189,125,139,1
0.178333,4001,290514,72
0.353333,1664,21479,12
0.19,4001,280904,70
0.19,4001,280653,70
0.155,1110,29446,26
0.137529,102,164,1
0.073333,587,29302,49
0.318333,1664,43715,26
0.178333,4001,244897,61
0.204424,208,1609,7
0.350038,1638,72962,44
0.166667,4001,302857,75
0.382138,84,86,1
0.085,4001,216856,54
0.284191,84,134,1
0.096667,4001,268372,67
0.26919,208,1367,6
0.155,144,2177,15
0.201667,1551,55553,35
0.12,4001,259360,64
0.225,4001,278085,69
0.306667,2759,125202,45
0.295,4001,227775,56
0.131667,1072,12450,11
0.363671,527,11701,22
0.05,50,970,19
0.326879,119,136,1
0.091848,60,87,1
0.274963,96,97,1
0.306667,4001,289384,72
0.178333,4001,265365,66
0.236667,1063,23850,22
0.166667,3063,209512,68
0.236667,68,730,10
0.200742,508,2382,4
0.365,366,2099,5
0.155,3390,232772,68
0.213333,630,14295,22
0.155,4001,276044,68
0.131537,98,99,1
0.318333,437,5427,12
0.26,4001,266558,66
0.096667,1034,57503,55
0.065841,117,575,4
0.306667,268,6513,24
0.329969,83,182,2
0.073333,4001,277536,69
0.283333,1776,55640,31
0.155,4001,267741,66
0.248322,85,103,1
0.155,4001,263543,65
0.131667,4001,272974,68
0.12,4001,275903,68
0.248333,4001,267133,66
0.367539,88,208,2
0.178333,4001,277265,69
0.076594,103,303,2
0.201667,4001,223642,55
0.318333,1923,55090,28
0.254575,89,94,1
0.225,4001,217882,54
0.276821,564,15124,26
0.166667,4001,272960,68
0.33,1015,16646,16
0.138572,654,6021,9
0.283333,58,579,9
0.307483,60,62,1
0.108333,4001,243281,60
0.271667,1012,18495,18
0.213333,4001,233647,58
0.341667,1538,27990,18
0.09369,208,446,2
0.236667,123,712,5
0.1775,143,183,1
0.108357,1013,28280,27
0.166667,760,40281,53
0.213333,4001,250783,62
0.184238,208,321,1
0.096667,4001,283257,70
0.348628,78,103,1
0.067077,90,202,2
0.213333,100,1002,10
0.382001,72,96,1
0.236667,4001,269237,67
0.081625,99,117,1
0.362281,655,19691,30
0.155,4001,259850,64
0.378213,84,97,1
0.314514,66,99,1
0.271667,4001,267297,66
0.327652,119,228,1
0.12,4001,286043,71
0.126463,188,236,1
0.143333,4001,279244,69
0.367082,83,90,1
0.227264,107,172,1
