evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,2269.3333333333335,139530.66666666666
0.062,2695.0,171633.0
0.073,4001.0,280657.0
0.083,98.0,160.0
0.085,2683.5,153273.5
0.097,4001.0,276774.5
0.099,480.0,1098.0
0.108,3319.5,224864.25
0.12,4001.0,280901.0
0.123,163.0,336.0
0.132,4001.0,278866.3333333333
0.137,112.0,186.0
0.143,4001.0,282070.1666666667
0.155,3172.285714285714,199501.85714285713
0.165,92.0,155.0
0.167,1962.0,94254.5
0.178,2952.8,182691.8
0.182,130.0,160.0
0.185,216.0,349.0
0.19,3205.0,212658.33333333334
0.202,4001.0,273411.6666666667
0.213,1088.0,33198.0
0.225,3002.25,189706.25
0.235,167.0,387.0
0.237,3469.3333333333335,221298.33333333334
0.248,2484.8,121658.4
0.258,83.0,87.0
0.259,83.0,98.0
0.26,1061.5,29439.25
0.272,1065.6666666666667,41808.333333333336
0.277,90.0,103.0
0.283,1346.0,23943.0
0.295,356.0,2201.0
0.307,1154.0,24075.0
0.337,91.0,98.0
0.339,83.0,90.0
0.342,1105.0,20781.0
0.353,1161.0,59481.0
0.373,139.0,351.0
0.375,75.0,90.0
0.377,1597.0,97297.0
