evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,1878.0,145786.0
0.059,588.0,166792.0
0.061,197.0,3108.0
0.062,726.0,38894.666666666664
0.063,655.0,39841.0
0.064,586.0,23990.0
0.074,661.0,44351.0
0.075,587.0,42957.0
0.081,464.0,38801.0
0.097,328.0,11995.0
0.11,587.0,22932.0
0.118,790.0,41557.0
0.119,137.0,651.0
0.126,114.0,151.0
0.13,83.0,94.0
0.136,587.0,72911.0
0.14,591.0,167162.0
0.141,85.0,105.0
0.143,270.0,4725.0
0.145,178.0,1884.0
0.154,81.0,92.0
0.155,1887.0,140114.0
0.158,4001.0,263852.0
0.167,883.0,11370.0
0.168,84.0,90.0
0.172,2747.0,254018.0
0.178,3537.0,214102.0
0.179,76.0,99.0
0.183,146.0,848.0
0.19,1048.6666666666667,33281.666666666664
0.192,102.0,148.0
0.193,55.0,57.0
0.194,209.0,1117.0
0.201,293.0,17555.0
0.202,4001.0,320383.0
0.211,276.0,9265.0
0.213,101.0,102.0
0.215,105.0,178.0
0.216,1164.0,47264.5
0.221,296.0,3501.0
0.222,269.0,4556.0
0.227,110.0,208.0
0.228,507.3333333333333,20432.666666666668
0.23,1179.0,47180.0
0.237,507.0,16919.0
0.244,86.0,98.0
0.246,1949.0,194543.0
0.248,593.0,22729.0
0.258,149.0,483.0
0.263,498.0,17246.0
0.266,115.0,331.0
0.272,2533.0,228225.0
0.273,2876.0,166547.0
0.275,180.0,253.0
0.278,258.0,603.0
0.28,189.0,3104.0
0.281,239.0,1180.0
0.287,97.0,103.0
0.288,103.0,105.0
0.289,913.0,38740.0
0.29,2749.0,156835.0
0.293,142.0,223.0
0.294,346.0,2186.0
0.297,167.0,736.0
0.298,71.0,93.0
0.301,100.0,168.0
0.326,898.0,38111.0
0.327,108.0,331.0
0.332,231.5,7159.5
0.333,177.0,1441.0
0.337,128.0,354.0
0.342,927.0,54184.5
0.354,104.0,282.0
0.36,328.0,12943.0
0.363,92.0,107.0
0.364,90.0,137.0
0.365,120.0,615.5
0.372,86.0,128.5
0.373,82.0,104.0
0.374,199.0,2350.0
0.377,50.0,88.0
0.378,256.0,821.0
0.381,136.0,761.0
0.392,100.0,255.0
0.393,67.0,82.0
0.397,93.0,115.0
