evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.059,395.0,14347.0
0.062,193.0,1593.0
0.067,180.0,638.0
0.073,675.0,5153.0
0.095,119.0,308.0
0.108,52.0,84.0
0.132,3153.0,245137.0
0.139,589.0,32277.0
0.155,1952.0,70277.0
0.158,80.0,96.0
0.167,319.0,3350.0
0.178,2214.0,135913.5
0.181,129.0,171.0
0.189,174.0,331.0
0.19,886.0,30432.0
0.206,265.0,1428.0
0.21,667.5,20913.0
0.221,87.0,98.0
0.225,1547.3333333333333,95632.66666666667
0.228,166.0,680.0
0.237,2585.0,164162.5
0.238,98.0,207.0
0.239,77.0,100.0
0.24,96.0,110.0
0.252,101.0,161.0
0.27,199.33333333333334,434.0
0.28,140.0,291.0
0.283,157.0,1377.0
0.287,188.0,352.0
0.291,108.0,110.0
0.307,905.0,20271.0
0.308,89.0,133.0
0.327,139.0,1195.0
0.349,126.0,148.0
0.359,162.0,290.0
0.361,634.0,4741.0
0.365,62.0,568.0
0.373,264.0,640.0
0.382,227.0,872.0
