evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,4001.0,267211.5
0.062,3928.3333333333335,242914.66666666666
0.073,4001.0,280858.0
0.085,4001.0,290396.5
0.093,124.0,174.0
0.097,4001.0,293239.0
0.108,4001.0,294296.3333333333
0.123,123.0,153.0
0.132,2638.0,148677.5
0.143,4001.0,286976.0
0.155,4001.0,270974.0
0.156,81.0,87.0
0.158,66.0,103.0
0.178,4001.0,275010.0
0.184,199.0,596.0
0.19,1170.0,18522.0
0.207,156.0,199.0
0.225,2866.0,112070.0
0.228,151.0,490.0
0.242,311.0,2571.0
0.248,1360.0,25418.0
0.282,1469.0,32691.0
0.295,1255.0,13061.0
0.3,116.0,150.0
0.312,94.0,104.0
0.326,85.0,95.0
0.33,71.0,99.0
0.342,62.0,627.0
0.358,112.0,174.0
0.365,2088.0,47737.0
