evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,4001.0,267132.0
0.062,2578.0,168243.5
0.068,89.0,100.0
0.073,4001.0,279150.0
0.085,4001.0,267421.0
0.097,4001.0,265100.25
0.099,103.0,155.0
0.108,3511.8333333333335,233873.0
0.132,4001.0,277353.3333333333
0.143,4001.0,286465.0
0.155,3160.6666666666665,202854.66666666666
0.167,4001.0,287705.0
0.178,4001.0,285089.0
0.19,4001.0,276097.3333333333
0.202,3033.6666666666665,197781.66666666666
0.213,1926.0,67919.5
0.22,320.0,438.0
0.225,2702.0,147769.75
0.237,752.0,22259.0
0.248,3620.0,140917.0
0.26,1034.0,16932.0
0.272,1060.6666666666667,18777.0
0.283,4001.0,273638.0
0.296,101.0,102.0
0.304,488.0,7167.0
0.307,769.0,9837.0
0.314,108.0,151.0
0.33,3000.0,113201.0
0.342,1563.0,39052.0
0.353,852.0,16367.0
0.365,77.0,79.0
0.388,4001.0,278749.0
